,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING,WON
920,45:26,16.0,29.0,0.552,7.0,14.0,0.5,8.0,8.0,1.0,1.0,0.0,1.0,5.0,4.0,0.0,4.0,3.0,47.0,6.0,2013,119.0,0.5,0.7190000000000001,0.417,26.0,46.0,117.0,0.484,0.75,0.4589999999999999,22.0,38.0,1,0,0.517,21.8,105.6,0
921,34:43,12.0,20.0,0.6,4.0,5.0,0.8,2.0,2.0,1.0,0.0,10.0,10.0,12.0,2.0,0.0,6.0,3.0,30.0,13.0,2013,95.0,0.3929999999999999,0.8,0.321,23.0,42.0,112.0,0.489,0.6920000000000001,0.52,27.0,57.0,0,0,0.5,20.4,107.2,1
922,33:32,8.0,19.0,0.421,2.0,7.0,0.286,6.0,6.0,1.0,0.0,7.0,7.0,6.0,4.0,0.0,2.0,1.0,24.0,-3.0,2013,99.0,0.455,0.867,0.261,19.0,38.0,100.0,0.375,0.632,0.294,23.0,63.0,0,1,0.531,22.0,113.8,0
923,29:28,12.0,18.0,0.667,5.0,10.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,16.0,3.0,0.0,5.0,2.0,31.0,31.0,2013,130.0,0.578,1.0,0.515,34.0,45.0,102.0,0.4529999999999999,0.7140000000000001,0.308,27.0,37.0,1,1,0.469,22.4,92.2,1
924,28:33,5.0,12.0,0.417,2.0,5.0,0.4,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,2.0,13.0,28.0,2013,102.0,0.452,0.667,0.3329999999999999,25.0,57.0,69.0,0.321,0.72,0.1,12.0,44.0,1,1,0.3670000000000001,23.8,97.8,1
925,30:43,5.0,15.0,0.3329999999999999,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,2.0,11.0,-19.0,2013,111.0,0.53,0.8640000000000001,0.211,29.0,45.0,90.0,0.424,1.0,0.381,21.0,33.0,1,0,0.758,27.8,110.6,0
926,43:07,10.0,17.0,0.588,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,3.0,10.0,2.0,0.0,1.0,2.0,23.0,8.0,2013,120.0,0.49,0.75,0.467,27.0,43.0,122.0,0.5710000000000001,0.5,0.484,33.0,44.0,0,0,0.387,27.8,112.0,1
927,40:46,10.0,21.0,0.476,6.0,12.0,0.5,6.0,8.0,0.75,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,32.0,5.0,2013,84.0,0.354,0.818,0.3229999999999999,14.0,46.0,89.0,0.4,0.889,0.36,15.0,40.0,0,1,0.7,28.8,96.8,0
928,38:03,13.0,22.0,0.591,5.0,8.0,0.625,2.0,3.0,0.667,1.0,4.0,5.0,8.0,1.0,2.0,3.0,1.0,33.0,9.0,2013,100.0,0.494,0.7859999999999999,0.45,22.0,43.0,93.0,0.506,0.563,0.1669999999999999,24.0,33.0,1,1,0.679,27.6,92.8,1
929,39:25,5.0,13.0,0.385,1.0,4.0,0.25,9.0,9.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,6.0,0.0,20.0,-7.0,2013,90.0,0.4029999999999999,0.862,0.2,21.0,54.0,99.0,0.3929999999999999,0.76,0.357,24.0,40.0,0,1,0.758,26.2,113.6,0
930,38:04,9.0,14.0,0.643,3.0,5.0,0.6,10.0,10.0,1.0,1.0,2.0,3.0,10.0,1.0,0.0,4.0,2.0,31.0,13.0,2013,115.0,0.5379999999999999,0.84,0.296,26.0,42.0,110.0,0.488,0.7440000000000001,0.25,23.0,36.0,1,1,0.552,22.0,99.8,1
931,31:46,9.0,13.0,0.6920000000000001,3.0,6.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,1.0,23.0,21.0,2013,103.0,0.451,0.905,0.37,21.0,44.0,89.0,0.455,0.75,0.308,22.0,40.0,1,1,0.387,21.0,102.4,1
932,40:08,11.0,24.0,0.4579999999999999,6.0,12.0,0.5,9.0,9.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,5.0,4.0,37.0,-5.0,2013,112.0,0.42,0.867,0.429,25.0,48.0,113.0,0.477,0.818,0.3670000000000001,17.0,41.0,0,0,0.517,16.2,102.2,1
933,36:01,8.0,17.0,0.471,5.0,10.0,0.5,6.0,7.0,0.857,0.0,4.0,4.0,8.0,3.0,0.0,4.0,1.0,27.0,3.0,2013,94.0,0.455,0.684,0.379,23.0,42.0,103.0,0.488,0.722,0.455,19.0,41.0,0,1,0.2189999999999999,13.6,99.2,0
